"ORIGIN_AIRPORT","no_flights","AIRPORT","CITY","STATE","COUNTRY","LATITUDE","LONGITUDE"
"CHO",2092,"Charlottesville-Albemarle Airport","Charlottesville","VA","USA",38.13864,-78.45286
"CHS",11548,"Charleston International Airport/Charleston AFB","Charleston","SC","USA",32.89865,-80.04051
"CID",6588,"The Eastern Iowa Airport","Cedar Rapids","IA","USA",41.88459,-91.71087
"CIU",596,"Chippewa County International Airport","Sault Ste. Marie","MI","USA",46.25075,-84.47239
"CLD",628,"McClellan-Palomar Airport","San Diego","CA","USA",33.12723,-117.27873
"CLE",33765,"Cleveland Hopkins International Airport","Cleveland","OH","USA",41.41089,-81.8494
"CLL",2200,"Easterwood Airport","College Station","TX","USA",30.58859,-96.36382
"CLT",99052,"Charlotte Douglas International Airport","Charlotte","NC","USA",35.21401,-80.94313
"CMH",23557,"Port Columbus International Airport","Columbus","OH","USA",39.99799,-82.89188
"CMI",1994,"University of Illinois - Willard Airport","Champaign/Urbana","IL","USA",40.03925,-88.27806
"CMX",619,"Houghton County Memorial Airport","Hancock","MI","USA",47.16842,-88.48906
"CNY",205,"Canyonlands Field","Moab","UT","USA",38.75496,-109.75484
"COD",651,"Yellowstone Regional Airport","Cody","WY","USA",44.52019,-109.0238
"COS",6745,"City of Colorado Springs Municipal Airport","Colorado Springs","CO","USA",38.80581,-104.70025
"COU",1241,"Columbia Regional Airport","Columbia","MO","USA",38.81809,-92.21963
"CPR",1744,"Natrona County International Airport","Casper","WY","USA",42.90836,-106.46447
"CRP",4716,"Corpus Christi International Airport","Corpus Christi","TX","USA",27.77036,-97.50122
"CRW",2315,"Yeager Airport","Charleston","WV","USA",38.37315,-81.59319
"CSG",1060,"Columbus Metropolitan Airport","Columbus","GA","USA",32.51633,-84.93886
"CVG",19467,"Cincinnati/Northern Kentucky International Airport","Covington","KY","USA",39.04614,-84.66217
"CWA",1361,"Central Wisconsin Airport","Mosinee","WI","USA",44.77762,-89.66678
"DAB",1486,"Daytona Beach International Airport","Daytona Beach","FL","USA",29.17992,-81.05806
"DAL",58672,"Dallas Love Field","Dallas","TX","USA",32.84711,-96.85177
"DAY",8362,"James M. Cox Dayton International Airport","Dayton","OH","USA",39.90238,-84.21938
"DBQ",869,"Dubuque Regional Airport","Dubuque","IA","USA",42.40296,-90.70917
"DCA",71579,"Ronald Reagan Washington National Airport","Arlington","VA","USA",38.85208,-77.03772
"DEN",193402,"Denver International Airport","Denver","CO","USA",39.85841,-104.667
