"ORIGIN_AIRPORT","no_flights","AIRPORT","CITY","STATE","COUNTRY","LATITUDE","LONGITUDE"
"IMT",606,"Ford Airport","Iron Mountain/Kingsford","MI","USA",45.81835,-88.11454
"IND",25048,"Indianapolis International Airport","Indianapolis","IN","USA",39.71733,-86.29438
"INL",556,"Falls International Airport","International Falls","MN","USA",48.56619,-93.40307
"ISN",2479,"Sloulin Field International Airport","Williston","ND","USA",48.17794,-103.64235
"ISP",4238,"Long Island MacArthur Airport","Islip","NY","USA",40.79524,-73.10021
"ITH",30,"Ithaca Tompkins Regional Airport","Ithaca","NY","USA",42.49103,-76.45844
"ITO",5708,"Hilo International Airport","Hilo","HI","USA",19.72026,-155.04847
"JAC",3444,"Jackson Hole Airport","Jackson","WY","USA",43.60732,-110.73774
"JAN",6905,"Jackson-Evers International Airport","Jackson","MS","USA",32.31117,-90.07589
"JAX",17777,"Jacksonville International Airport","Jacksonville","FL","USA",30.49406,-81.68786
"JFK",91663,"John F. Kennedy International Airport (New York International Airport)","New York","NY","USA",40.63975,-73.77893
"JLN",629,"Joplin Regional Airport","Joplin","MO","USA",37.15181,-94.49827
"JMS",743,"Jamestown Regional Airport","Jamestown","ND","USA",46.92972,-98.6782
"JNU",4031,"Juneau International Airport","Juneau","AK","USA",58.35496,-134.57628
"KOA",11052,"Kona International Airport at Keahole","Kailua/Kona","HI","USA",19.73877,-156.04563
"KTN",2287,"Ketchikan International Airport","Ketchikan","AK","USA",55.35557,-131.71374
"LAN",1800,"Capital Region International Airport ( Lansing Capital City)","Lansing","MI","USA",42.7787,-84.58736
"LAR",556,"Laramie Regional Airport","Laramie","WY","USA",41.31205,-105.67499
"LAS",131937,"McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233
"LAW",1236,"Lawton-Fort Sill Regional Airport","Lawton","OK","USA",34.56771,-98.41664
"LAX",192003,"Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807
"LBB",4458,"Lubbock Preston Smith International Airport","Lubbock","TX","USA",33.66364,-101.82278
"LBE",1245,"Arnold Palmer Regional Airport","Latrobe","PA","USA",40.27594,-79.4048
"LCH",1802,"Lake Charles Regional Airport","Lake Charles","LA","USA",30.1261,-93.2234
"LEX",5800,"Blue Grass Airport","Lexington","KY","USA",38.03697,-84.60539
"LFT",5005,"Lafayette Regional Airport","Lafayette","LA","USA",30.20528,-91.98766
"LGA",94834,"LaGuardia Airport (Marine Air Terminal)","New York","NY","USA",40.77724,-73.87261
"LGB",8704,"Long Beach Airport (Daugherty Field)","Long Beach","CA","USA",33.81772,-118.15161
"LIH",10487,"Lihue Airport","Lihue","HI","USA",21.97598,-159.33896
"LIT",10132,"Bill and Hillary Clinton National Airport (Adams Field)","Little Rock","AR","USA",34.7294,-92.22425
"LNK",2564,"Lincoln Airport (Lincoln Municipal)","Lincoln","NE","USA",40.85097,-96.75925
"LRD",2127,"Laredo International Airport","Laredo","TX","USA",27.54374,-99.46154
"LSE",1581,"La Crosse Regional Airport","La Crosse","WI","USA",43.87938,-91.25654
"LWS",588,"Lewiston-Nez Perce County Airport","Lewiston","ID","USA",46.3745,-117.01539
"MAF",7252,"Midland International Airport","Midland","TX","USA",31.94253,-102.20191
"MBS",1654,"MBS International Airport","Saginaw","MI","USA",43.53291,-84.07965
"MCI",38106,"Kansas City International Airport","Kansas City","MO","USA",39.29761,-94.71391
"MCO",109532,"Orlando International Airport","Orlando","FL","USA",28.42889,-81.31603
"MDT",3210,"Harrisburg International Airport","Harrisburg","PA","USA",40.1935,-76.7634
"MDW",78685,"Chicago Midway International Airport","Chicago","IL","USA",41.78598,-87.75242
"MEI",888,"Meridian Regional Airport","Meridian","MS","USA",32.33313,-88.75121
"MEM",14381,"Memphis International Airport","Memphis","TN","USA",35.04242,-89.97667
"MFE",3294,"McAllen-Miller International Airport (McAllen Miller International)","McAllen","TX","USA",26.17583,-98.23861
"MFR",2430,"Rogue Valley International Airport","Medford","OR","USA",42.37423,-122.8735
"MGM",3107,"Montgomery Regional Airport","Montgomery","AL","USA",32.30064,-86.39398
"MHK",1562,"Manhattan Regional Airport","Manhattan","KS","USA",39.14097,-96.67083
"MHT",6115,"Manchester-Boston Regional Airport","Manchester","NH","USA",42.93452,-71.43706
"MIA",68301,"Miami International Airport","Miami","FL","USA",25.79325,-80.29056
"MKE",29172,"General Mitchell International Airport","Milwaukee","WI","USA",42.94722,-87.89658
"MKG",618,"Muskegon County Airport","Muskegon","MI","USA",43.16949,-86.23822
"MLB",1322,"Melbourne International Airport","Melbourne","FL","USA",28.10275,-80.64581
"MLI",3619,"Quad City International Airport","Moline","IL","USA",41.44853,-90.50754
"MLU",2876,"Monroe Regional Airport","Monroe","LA","USA",32.51087,-92.03769
"MMH",140,"Mammoth Yosemite Airport","Mammoth Lakes","CA","USA",37.62405,-118.83777
"MOB",4905,"Mobile Regional Airport","Mobile","AL","USA",30.69142,-88.24283
"MOT",1820,"Minot International Airport","Minot","ND","USA",48.25938,-101.28033
"MQT",296,"Sawyer International Airport","Marquette","MI","USA",46.35364,-87.39536
"MRY",2836,"Monterey Regional Airport (Monterey Peninsula Airport)","Monterey","CA","USA",36.58698,-121.84295
"MSN",8830,"Dane County Regional Airport","Madison","WI","USA",43.13986,-89.33751
"MSO",2053,"Missoula International Airport","Missoula","MT","USA",46.91631,-114.09056
"MSP",111055,"Minneapolis-Saint Paul International Airport","Minneapolis","MN","USA",44.88055,-93.21692
"MSY",38292,"Louis Armstrong New Orleans International Airport","New Orleans","LA","USA",29.99339,-90.25803
"MTJ",966,"Montrose Regional Airport","Montrose","CO","USA",38.50887,-107.89383
"MVY",205,"Martha's Vineyard Airport","Marthas Vineyard","MA","USA",41.39303,-70.61433
"MYR",4725,"Myrtle Beach International Airport","Myrtle Beach","SC","USA",33.67975,-78.92833
"OAJ",1118,"Albert J. Ellis Airport","Jacksonville","NC","USA",34.82916,-77.61214
"OAK",41669,"Oakland International Airport","Oakland","CA","USA",37.72129,-122.22072
"OGG",20477,"Kahului Airport","Kahului","HI","USA",20.89865,-156.43046
"OKC",15797,"Will Rogers World Airport","Oklahoma City","OK","USA",35.39309,-97.60073
"OMA",16442,"Eppley Airfield","Omaha","NE","USA",41.30252,-95.89417
"OME",632,"Nome Airport","Nome","AK","USA",64.5122,-165.44525
"ONT",17769,"Ontario International Airport","Ontario","CA","USA",34.056,-117.60119
"ORD",276554,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"ORF",9084,"Norfolk International Airport","Norfolk","VA","USA",36.89461,-76.20122
"ORH",632,"Worcester Regional Airport","Worcester","MA","USA",42.26734,-71.87571
"OTH",264,"Southwest Oregon Regional Airport (North Bend Municipal)","North Bend","OR","USA",43.41714,-124.24603
"OTZ",633,"Ralph Wien Memorial Airport","Kotzebue","AK","USA",66.88468,-162.59855
"PAH",622,"Barkley Regional Airport","Paducah","KY","USA",37.06083,-88.77375
"PBG",278,"Plattsburgh International Airport","Plattsburgh","NY","USA",NA,NA
"PBI",22134,"Palm Beach International Airport","West Palm Beach","FL","USA",26.68316,-80.09559
"PDX",46777,"Portland International Airport","Portland","OR","USA",45.58872,-122.5975
"PHF",1229,"Newport News/Williamsburg International Airport","Newport News","VA","USA",37.1319,-76.49299
"PHL",64751,"Philadelphia International Airport","Philadelphia","PA","USA",39.87195,-75.24114
"PHX",145552,"Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806
"PIA",4490,"General Wayne A. Downing Peoria International Airport","Peoria","IL","USA",40.66424,-89.69331
"PIB",563,"Hattiesburg-Laurel Regional Airport","Hattiesburg-Laurel","MS","USA",31.46715,-89.33706
"PIH",652,"Pocatello Regional Airport","Pocatello","ID","USA",42.91131,-112.59586
"PIT",23669,"Pittsburgh International Airport","Pittsburgh","PA","USA",40.49147,-80.23287
"PLN",730,"Pellston Regional Airport of Emmet County","Pellston","MI","USA",45.57093,-84.79672
"PNS",6403,"Pensacola International Airport (Pensacola Gulf Coast Regional Airport)","Pensacola","FL","USA",30.47331,-87.18744
"PPG",106,"Pago Pago International Airport (Tafuna Airport)","Pago Pago","AS","USA",14.33102,-170.71053
"PSC",2394,"Tri-Cities Airport","Pasco","WA","USA",46.26468,-119.11903
"PSE",738,"Mercedita Airport","Ponce","PR","USA",18.0083,-66.56301
"PSG",652,"Petersburg James A. Johnson Airport","Petersburg","AK","USA",56.80165,-132.94528
"PSP",8865,"Palm Springs International Airport","Palm Springs","CA","USA",33.82922,-116.50625
"PUB",253,"Pueblo Memorial Airport","Pueblo","CO","USA",38.28909,-104.49657
"PVD",10757,"Theodore Francis Green State Airport","Providence","RI","USA",41.724,-71.42822
"PWM",4529,"Portland International Jetport","Portland","ME","USA",43.64617,-70.30875
"RAP",3197,"Rapid City Regional Airport","Rapid City","SD","USA",44.04532,-103.05737
"RDD",706,"Redding Municipal Airport","Redding","CA","USA",40.50898,-122.2934
"RDM",2119,"Redmond Municipal Airport (Roberts Field)","Redmond","OR","USA",44.25407,-121.14996
"RDU",31074,"Raleigh-Durham International Airport","Raleigh","NC","USA",35.87764,-78.78747
"RHI",937,"Rhinelander-Oneida County Airport","Rhinelander","WI","USA",45.63119,-89.46745
"RIC",14887,"Richmond International Airport","Richmond","VA","USA",37.50517,-77.31967
"RKS",670,"Rock Springs-Sweetwater County Airport","Rock Springs","WY","USA",41.59422,-109.06519
"RNO",12851,"Reno/Tahoe International Airport","Reno","NV","USA",39.49858,-119.76806
"ROA",2217,"Roanoke Regional Airport (Woodrum Field)","Roanoke","VA","USA",37.32547,-79.97543
"ROC",7240,"Greater Rochester International Airport","Rochester","NY","USA",43.11887,-77.67238
"ROW",915,"Roswell International Air Center","Roswell","NM","USA",33.30156,-104.53056
"RST",1971,"Rochester International Airport","Rochester","MN","USA",43.90883,-92.49799
"RSW",26938,"Southwest Florida International Airport","Ft. Myers","FL","USA",26.53617,-81.75517
"SAF",1435,"Santa Fe Municipal Airport","Santa Fe","NM","USA",35.61678,-106.08814
"SAN",69270,"San Diego International Airport (Lindbergh Field)","San Diego","CA","USA",32.73356,-117.18966
"SAT",29375,"San Antonio International Airport","San Antonio","TX","USA",29.53369,-98.46978
"SAV",7372,"Savannah/Hilton Head International Airport","Savannah","GA","USA",32.12758,-81.20214
"SBA",5878,"Santa Barbara Municipal Airport (Santa Barbara Airport)","Santa Barbara","CA","USA",34.42621,-119.84037
"SBN",4343,"South Bend International Airport (South Bend Regional)","South Bend","IN","USA",41.70895,-86.31847
"SBP",3063,"San Luis Obispo County Regional Airport (McChesney Field)","San Luis Obispo","CA","USA",35.23706,-120.64239
"SCC",816,"Deadhorse Airport (Prudhoe Bay Airport)","Deadhorse","AK","USA",70.19476,-148.46516
"SCE",882,"University Park Airport","State College","PA","USA",40.85121,-77.8463
"SDF",9940,"Louisville International Airport (Standiford Field)","Louisville","KY","USA",38.17439,-85.736
"SEA",110178,"Seattle-Tacoma International Airport","Seattle","WA","USA",47.44898,-122.30931
"SFO",145491,"San Francisco International Airport","San Francisco","CA","USA",37.619,-122.37484
"SGF",6035,"Springfield-Branson National Airport","Springfield","MO","USA",37.24433,-93.38686
"SGU",1770,"St. George Regional Airport","St George","UT","USA",37.09058,-113.59306
"SHV",5932,"Shreveport Regional Airport","Shreveport","LA","USA",32.44663,-93.8256
"SIT",1322,"Sitka Rocky Gutierrez Airport","Sitka","AK","USA",57.04714,-135.3616
"SJC",37708,"Norman Y. Mineta San José International Airport","San Jose","CA","USA",37.36186,-121.92901
"SJT",1550,"San Angelo Regional Airport (Mathis Field)","San Angelo","TX","USA",31.35775,-100.49631
"SJU",24399,"Luis Muñoz Marín International Airport","San Juan","PR","USA",18.43942,-66.00183
"SLC",96505,"Salt Lake City International Airport","Salt Lake City","UT","USA",40.78839,-111.97777
"SMF",36788,"Sacramento International Airport","Sacramento","CA","USA",38.69542,-121.59077
"SMX",652,"Santa Maria Public Airport (Capt G. Allan Hancock Field)","Santa Maria","CA","USA",34.89925,-120.45758
"SNA",36708,"John Wayne Airport (Orange County Airport)","Santa Ana","CA","USA",33.67566,-117.86822
"SPI",1517,"Abraham Lincoln Capital Airport","Springfield","IL","USA",39.84395,-89.67762
"SPS",1170,"Wichita Falls Municipal Airport/Sheppard AFB","Wichita Falls","TX","USA",33.9888,-98.49189
"SRQ",3318,"Sarasota-Bradenton International Airport","Sarasota","FL","USA",27.39533,-82.55411
"STC",77,"St. Cloud Regional Airport","St Cloud","MN","USA",45.54532,-94.05834
"STL",46181,"St. Louis International Airport at Lambert Field","St Louis","MO","USA",38.74769,-90.35999
"STT",4171,"Cyril E. King Airport","Charlotte Amalie","VI","USA",18.33731,-64.97336
"STX",932,"Henry E. Rohlsen Airport","Christiansted","VI","USA",17.70189,-64.79856
"SUN",867,"Friedman Memorial Airport","Hailey","ID","USA",43.50484,-114.29659
"SUX",589,"Sioux Gateway Airport","Sioux City","IA","USA",42.4026,-96.38437
"SWF",678,"Stewart International Airport","Newburgh","NY","USA",41.50409,-74.10484
"SYR",5447,"Syracuse Hancock International Airport","Syracuse","NY","USA",43.11119,-76.10631
"TLH",3141,"Tallahassee International Airport","Tallahassee","FL","USA",30.39653,-84.35033
"TOL",897,"Toledo Express Airport","Toledo","OH","USA",41.58681,-83.80783
"TPA",63077,"Tampa International Airport","Tampa","FL","USA",27.97547,-82.53325
"TRI",1906,"Tri-Cities Regional Airport","Bristol","TN","USA",36.47521,-82.40742
"TTN",2771,"Trenton Mercer Airport","Trenton","NJ","USA",40.27669,-74.81347
"TUL",13701,"Tulsa International Airport","Tulsa","OK","USA",36.19837,-95.88824
"TUS",14922,"Tucson International Airport","Tucson","AZ","USA",32.11608,-110.94103
"TVC",2660,"Cherry Capital Airport","Traverse City","MI","USA",44.74144,-85.58224
"TWF",805,"Magic Valley Regional Airport (Joslin Field)","Twin Falls","ID","USA",42.4818,-114.48774
"TXK",918,"Texarkana Regional Airport (Webb Field)","Texarkana","AR","USA",33.45371,-93.99102
"TYR",2199,"Tyler Pounds Regional Airport","Tyler","TX","USA",32.35414,-95.40239
"TYS",6754,"McGhee Tyson Airport","Knoxville","TN","USA",35.81249,-83.99286
"UST",144,"Northeast Florida Regional Airport (St. Augustine Airport)","St. Augustine","FL","USA",NA,NA
"VEL",200,"Valdez Airport","Vernal","UT","USA",40.4409,-109.50992
"VLD",925,"Valdosta Regional Airport","Valdosta","GA","USA",30.7825,-83.27672
"VPS",4744,"Destin-Fort Walton Beach Airport/Eglin AFB","Valparaiso","FL","USA",30.48325,-86.5254
"WRG",649,"Wrangell Airport","Wrangell","AK","USA",56.48433,-132.36982
"WYS",208,"Westerly State Airport","West Yellowstone","MT","USA",44.6884,-111.11764
"XNA",8963,"Northwest Arkansas Regional Airport","Fayetteville/Springdale/Rogers","AR","USA",36.28187,-94.30681
"YAK",650,"Yakutat Airport","Yakutat","AK","USA",59.50336,-139.66023
"YUM",1854,"Yuma International Airport","Yuma","AZ","USA",32.65658,-114.60597
